tle,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
better better,いんやん,JP,,,,,,,,,,,,,,,,,
tskn 2012,いんやん,JP,,,,,,,,,,,,,,,,,
pm09:39,いんやん,JP,,,,,,,,,,,,,,,,,
マトーヤの洞窟,いんやん,JP,,,,,,,,,,,,,,,,,
へくちく,いんやん,JP,,,,,,,,,,,,,,,,,
しろいるか,いんやん,JP,,,,,,,,,,,,,,,,,
黄昏時,いんやん,JP,,,,,,,,,,,,,,,,,
雨かと思ったら違った,いんやん,JP,,,,,,,,,,,,,,,,,
euphoria,いんやん,JP,,,,,,,,,,,,,,,,,
small hula hoop,いんやん,JP,,,,,,,,,,,,,,,,,
co cn,いんやん,JP,,,,,,,,,,,,,,,,,
甘TT～,いんやん,JP,,,,,,,,,,,,,,,,,
monnerthythm,いんやん,JP,,,,,,,,,,,,,,,,,
prim stone,いんやん,JP,,,,,,,,,,,,,,,,,
everyday magic,いんやん,JP,,,,,,,,,,,,,,,,,
Kalen,いんやん,JP,,,,,,,,,,,,,,,,,
"She said, ""Sutekina Something.""",いんやん,JP,,,,,,,,,,,,,,,,,
Sugar Sweet Shooting Star,いんやん,JP,,,,,,,,,,,,,,,,,
かがやき,いんやん,JP,,,,,,,,,,,,,,,,,
Shinagawa Seaside Sister Suicide,いんやん,JP,,,,,,,,,,,,,,,,,
Sakasama Sankaku Sayonara Summer,いんやん,JP,,,,,,,,,,,,,,,,,
さようなら、さようなら!,いんやん,JP,,,,,,,,,,,,,,,,,
sundance2,いんやん,JP,,,,,,,,,,,,,,,,,
Sympathy for the MU,いんやん,JP,,,,,,,,,,,,,,,,,
なないろ,いんやん,JP,,,,,,,,,,,,,,,,,
ファミレスレボリューション,いんやん,JP,,,,,,,,,,,,,,,,,
A Land Long Dead,いんやん,JP,,,,,,,,,,,,,,,,,
カラメル色の屋根,いんやん,JP,,,,,,,,,,,,,,,,,
Sympathy for the FS,いんやん,JP,,,,,,,,,,,,,,,,,
ポリニア,いんやん,JP,,,,,,,,,,,,,,,,,
さみだれ,いんやん,JP,,,,,,,,,,,,,,,,,
absurdly,いんやん,JP,,,,,,,,,,,,,,,,,
渚,いんやん,JP,,,,,,,,,,,,,,,,,
probably,いんやん,JP,,,,,,,,,,,,,,,,,
talking about,いんやん,JP,,,,,,,,,,,,,,,,,
gooooooooon,いんやん,JP,,,,,,,,,,,,,,,,,
hebereke(version pt.i),いんやん,JP,,,,,,,,,,,,,,,,,
puyopuyo,いんやん,JP,,,,,,,,,,,,,,,,,
銀色,いんやん,JP,,,,,,,,,,,,,,,,,
キャタピラビレッジ,いんやん,JP,,,,,,,,,,,,,,,,,
bo/oq,いんやん,JP,,,,,,,,,,,,,,,,,
ステロイド,いんやん,JP,,,,,,,,,,,,,,,,,
きみにばいばいって言ったらなんだか泣き笑いみたいになったけど、それでもやっぱりお別れなんだって顔をするからどうしようもなく泣きたくなったの,いんやん,JP,,,,,,,,,,,,,,,,,
ほんのちょっとだけ上手く笑えたら、世界もキレイに見えるかな,いんやん,JP,,,,,,,,,,,,,,,,,
